8/5/2018;47,88
8/6/2018;52,136
8/7/2018;12,768
8/8/2018;93,632
8/9/2018;69,16
8/10/2018;45,752
8/11/2018;18,088
8/12/2018;74,48
8/13/2018;48,944
8/14/2018;85,12
8/15/2018;30,856
8/16/2018;15,96
8/17/2018;0
8/18/2018;20,216
8/19/2018;39,368
8/20/2018;24,472
8/21/2018;68,096
8/22/2018;97,888
8/23/2018;20,216
8/24/2018;63,84
8/25/2018;61,712
8/26/2018;23,408
8/27/2018;81,928
8/28/2018;68,096
8/29/2018;97,888
8/30/2018;51,072
8/31/2018;91,504
9/1/2018;79,8
9/2/2018;34,048
9/3/2018;48,944
9/4/2018;88,312
9/5/2018;97,888
9/6/2018;78,736
9/7/2018;14,896
9/8/2018;5,32
9/9/2018;84,056
9/10/2018;98,952
9/11/2018;21,28
9/12/2018;40,432
9/13/2018;57,456
9/14/2018;44,688
9/15/2018;91,504
9/16/2018;79,8
9/17/2018;22,344
9/18/2018;100,016
9/19/2018;95,76
9/20/2018;1,064
9/21/2018;75,544
9/22/2018;60,648
9/23/2018;69,16
9/24/2018;32,984
9/25/2018;73,416
9/26/2018;52,136
9/27/2018;91,504
9/28/2018;102,144
9/29/2018;55,328
9/30/2018;11,704
10/1/2018;37,24
10/2/2018;100,016
10/3/2018;18,088
10/4/2018;100,016
10/5/2018;101,08
10/6/2018;26,6
10/7/2018;40,432
10/8/2018;98,952
10/9/2018;62,776
10/10/2018;46,816
10/11/2018;81,928
10/12/2018;100,016
10/13/2018;37,24
10/14/2018;98,952
10/15/2018;89,376
10/16/2018;72,352
10/17/2018;68,096
10/18/2018;73,416
10/19/2018;19,152
10/20/2018;92,568
10/21/2018;104,272
10/22/2018;74,48
10/23/2018;57,456
10/24/2018;28,728
10/25/2018;103,208
10/26/2018;13,832
10/27/2018;14,896
10/28/2018;47,88
10/29/2018;58,52
10/30/2018;92,568
10/31/2018;48,944
11/1/2018;77,672
11/2/2018;0
11/3/2018;61,712
11/4/2018;50,008
11/5/2018;71,288
11/6/2018;29,792
11/7/2018;38,304
11/8/2018;38,304
11/9/2018;70,224
11/10/2018;106,4
11/11/2018;21,28
11/12/2018;1,064
